BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	5	| 6896	7010	| 1929	1990
2	15580	| 21	5	| 6879	7010	| 1907	1990
3	30034	| 21	5	| 6943	7010	| 1938	1990
4	44431	| 21	5	| 6934	7010	| 1944	1990
5	58726	| 21	5	| 6968	7010	| 1912	1990
6	73064	| 21	5	| 6966	7010	| 1941	1990
7	87167	| 21	5	| 6968	7010	| 1940	1990
8	101246	| 21	5	| 6964	7010	| 1947	1990
9	115247	| 21	5	| 6981	7010	| 1930	1990
10	129319	| 21	5	| 6979	7010	| 1929	1990
11	143522	| 21	5	| 6921	7010	| 1942	1990
12	157629	| 21	5	| 6943	7010	| 1940	1990
13	171723	| 21	5	| 6992	7010	| 1953	1990
14	185875	| 21	5	| 6980	7010	| 1949	1990
15	199801	| 21	5	| 6912	7010	| 916	1990
16	213803	| 21	5	| 6984	7010	| 1929	1990
17	227919	| 21	5	| 6990	7010	| 1950	1990
18	241896	| 21	5	| 6959	7010	| 1937	1990
19	256806	| 21	5	| 6935	7010	| 1940	1990
20	270842	| 21	5	| 6967	7010	| 1932	1990
21	285717	| 21	5	| 6959	7010	| 1914	1990
22	299872	| 21	5	| 6942	7010	| 1934	1990
23	314760	| 21	5	| 6954	7010	| 1928	1990
24	328930	| 21	5	| 6947	7010	| 1948	1990
25	342873	| 21	5	| 6959	7010	| 1952	1990
26	356899	| 21	5	| 6964	7010	| 1930	1990
27	371077	| 21	5	| 6994	7010	| 1948	1990
28	385075	| 21	5	| 6988	7010	| 1941	1990
29	399053	| 21	5	| 6999	7010	| 1942	1990
30	413946	| 21	5	| 6988	7010	| 1941	1990
done	427367
